GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6
ELFN2,1.2957555310453843e-15,0.0,2.281824905954653e-11,9.026482599024087e-13,0.0,0.9999999999762785
FOXL1,2.5138909751076904e-09,0.0,0.969412463593394,1.2723453175358867e-06,0.0,0.03058626154739722
PAX7,5.6209986448035e-31,0.0,1.0,1.115205071939909e-19,0.0,2.1293362381234097e-18
MAFB,0.11235961274284277,0.0,0.0021478274768137458,0.7867355830571859,0.0,0.09875697672315799
OLFM1,0.00021819476202498026,0.0,1.0290178964700954e-07,2.1725960574345536e-05,0.0,0.9997599763756105
LMX1A,0.008018881725736312,0.0,6.871312247617548e-07,0.9919716359515997,0.0,8.79519143857819e-06
NRN1,2.565301989263356e-15,0.0,0.017811602988218645,0.9821883946128189,0.0,2.3989592886523785e-09
HMX1,7.913717959379374e-27,0.0,1.0,7.894518211315154e-19,0.0,3.6442534869568736e-16
SYT5,0.027685514775022357,0.0,9.25840834572494e-05,0.0043998826541058475,0.0,0.9678220184874157
BMP7,0.20855146320656573,0.0,0.0003287181022731393,0.0820248093989377,0.0,0.7090950092922245
EBF3,1.5803925935666652e-10,0.0,0.08368404397075735,0.9163158994200856,0.0,5.645111696122431e-08
FOXB1,6.308909134791234e-08,0.0,0.04870217513495036,0.9512974974365187,0.0,2.643394398247645e-07
DDN,5.5995180105330615e-05,0.0,2.998806113097289e-07,0.04224114265566135,0.0,0.957702562283621
PHACTR3,0.9578524311917391,0.0,1.2891432879198796e-06,0.015515415644205376,0.0,0.026630864020767947
FBXL16,0.9001417847893293,0.0,0.00014730410067346862,0.0017432894778121053,0.0,0.09796762163218675
EPHA10,0.6837221597430534,0.0,0.0015103020055923196,0.25542812246772895,0.0,0.05933941578362483
ZDHHC22,0.614787872528125,0.0,0.002714516657952877,0.3734703841919834,0.0,0.00902722662193922
GATA4,3.398706790569144e-104,0.0,1.0,8.640174448180144e-28,0.0,7.366784069569224e-53
PDYN,0.011131470305916257,0.0,0.003002278178928956,0.0003524450372318081,0.0,0.9855138064779225
KCNJ10,0.4409718663781448,0.0,0.000970912834874725,2.902835874007136e-08,0.0,0.5580571917586216
CALY,0.04580016559724723,0.0,1.1549708152309567e-09,0.5539766019418387,0.0,0.40022323130594395
ANK1,0.024710998424206054,0.0,6.719648696051855e-07,0.9697749500099325,0.0,0.0055133796009907456
LINGO1,5.0699778126059364e-24,0.0,3.131557056254746e-08,4.262796867811058e-52,0.0,0.9999999686844281
