GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8
GBP2,4.178547949561838e-05,1.5635182268191345e-13,0.0,0.0,2.0814885609219486e-17,3.142595030665616e-10,6.573210391986749e-09,0.9999582076328782
ST3GAL2,0.0003828139308206528,7.581465827440583e-13,0.0,0.0,8.92009353919945e-17,2.117080741026385e-09,5.2730156280823794e-08,0.9996171312211837
BORCS8,0.012424726460493852,2.4612526761800865e-10,0.0,0.0,3.188278888402811e-14,4.951391394444999e-07,7.068497677431332e-06,0.9875677096565322
SMARCC1,2.9300188729589293e-05,4.9050324819390726e-14,0.0,0.0,6.0403573964151535e-18,1.1919779034047404e-10,2.7659696212960606e-09,0.9999706969260538
NUP93,0.009451002470189165,1.7724261823608054e-11,0.0,0.0,2.179440231682016e-15,4.328645768552631e-08,1.1150208135955503e-06,0.9905478392048134
TDRD3,0.8488090763802607,1.0007391988859895e-08,0.0,0.0,1.0817794130502905e-12,2.6866051906300018e-05,0.0004943799353110914,0.15066966762404815
DNAAF2,0.0006122259376121803,2.5681205225992537e-12,0.0,0.0,3.175638353975036e-16,5.664845534985316e-09,1.4673309133889177e-07,0.9993876216618833
SLC35A4,0.00010865606577868214,1.5210736685996204e-13,0.0,0.0,2.0683281564661015e-17,3.468091232197711e-10,9.55385408674164e-09,0.9998913340334064
MFSD5,0.0008251082606453067,2.258633031654499e-12,0.0,0.0,3.322597321744032e-16,4.4929463951118105e-09,1.6460013265892637e-07,0.9991747226440161
TYK2,0.4873572401940359,1.3124270009619698e-09,0.0,0.0,1.472159558620248e-13,3.735189943676341e-06,8.940378656434481e-05,0.5125496195168817
ADPGK,0.1043418639048609,3.545878425208655e-10,0.0,0.0,3.407257751946275e-14,1.2104050672839135e-06,6.575899185991311e-06,0.8956503494362642
ALG10B,0.9993321528365836,1.3530013531298505e-08,0.0,0.0,1.8005834809420725e-12,2.7182457406636406e-05,0.0006081219430336283,3.2529231162037625e-05
POLR3F,0.000603801521579596,5.99972483895752e-13,0.0,0.0,7.457653680639151e-17,1.5524650928077142e-09,5.304613756949327e-08,0.9993961438792178
NEMF,0.00011737701490481872,1.8343553891225464e-13,0.0,0.0,2.3643786376609063e-17,3.49120755555596e-10,1.140309002615891e-08,0.9998826112327018
SNAPC4,0.12064235197338544,9.737996404150976e-10,0.0,0.0,1.3424978146725076e-13,2.020735077685629e-06,3.6392715176912036e-05,0.8793192336024263
ANKLE2,0.00046893411080195654,1.4905853079041677e-12,0.0,0.0,2.3079801425042105e-16,2.6337084006821344e-09,9.07569996735478e-08,0.9995309724969994
AUNIP,0.8198737562658913,8.29245806257852e-09,0.0,0.0,1.1355983889567327e-12,1.5479594329940563e-05,0.0004401279330150123,0.17967062791317007
IGFALS,0.9565031176890617,8.926284356588286e-06,0.0,0.0,1.3747854731304243e-09,0.009795588500368825,0.03369236602396072,1.274664957662366e-10
SHPRH,0.0062922050051417286,2.56238290891718e-11,0.0,0.0,2.9258995647691045e-15,5.4389720175417e-08,8.569559010111322e-07,0.9937068836236101
AVL9,0.00014250132021932652,4.1951484967221713e-13,0.0,0.0,5.560901699523846e-17,7.083392366894077e-10,3.3546016279647544e-08,0.9998574644250053
PRR27,0.9977979539092144,8.860674414005915e-08,0.0,0.0,1.2402444172243153e-11,0.00010890431883900896,0.002093053134248947,1.8551037122789043e-11
SPATA33,0.005964009350440018,1.2289754580416209e-11,0.0,0.0,1.6214305369745361e-15,3.1896005566888104e-08,7.093654983978241e-07,0.9940352493757643
HERPUD1,0.9798926516486567,8.317722294500049e-07,0.0,0.0,1.1803481592697964e-10,0.0012828465502053184,0.018823669910873145,5.401403923842432e-16
SZT2,2.9211980224115824e-05,6.34053435930602e-14,0.0,0.0,8.239742573339712e-18,1.4462544974313909e-10,3.2992963871784615e-09,0.9999707845757906
CYB561A3,5.686674577063357e-05,1.8048776506908608e-13,0.0,0.0,2.6797082910943e-17,3.3057579251760275e-10,8.917177693588194e-09,0.9999431240062949
TSC2,0.28429870120283,1.1449382966599829e-09,0.0,0.0,1.4914803931750978e-13,2.649199568036156e-06,5.307402275389535e-05,0.7156455744297607
IMPA1,0.5095438854147416,1.0133028062230678e-09,0.0,0.0,1.3091758684054604e-13,2.152617936430574e-06,6.848908522334204e-05,0.49038547186866516
PEX26,0.9993638433768229,1.3796815081733278e-08,0.0,0.0,1.458147143425912e-12,4.171906755229027e-05,0.0005944237559384944,1.413154701715037e-12
ZSWIM8,9.622767843742427e-05,1.9555063778746382e-13,0.0,0.0,2.83064684862282e-17,3.653523535459912e-10,1.0680452835180932e-08,0.9999037612755617
