GENE,cluster1,cluster2,cluster3,cluster4
TBX1,0.0,0.0481871370238089,1.0877810295083077e-105,0.9518128629761923
POU3F3,0.0,1.4881511046308999e-08,1.488575330553036e-51,0.999999985118489
WNT1,0.0,0.7579658353014217,1.2270851685037412e-96,0.24203416469857933
CNTFR,0.0,0.9100917683875334,3.289011576084583e-98,0.08990823161246751
BCOR,0.0,1.2876095460807383e-11,6.6660607e-317,0.999999999987125
TWIST1,0.0,7.691042087843949e-07,1.4264725765209872e-73,0.9999992308957895
VSTM2B,0.0,0.007740331674245281,1.2493346402136086e-96,0.9922596683257555
EMX1,0.0,0.002431431638169021,5.165587920438695e-48,0.9975685683618298
MPPED1,0.0,0.0067049327881602205,1.7230372865591408e-15,0.9932950672118388
FOXC2,0.0,0.0008105066926442726,7.779033336432566e-181,0.9991894933073552
VAX2,0.0,4.583383128191172e-05,3.221592487716618e-132,0.9999541661687165
FEZF1,0.0,0.00043690884351907735,1.7355648901631862e-69,0.9995630911564802
PAX6,0.0,3.5826829801878867e-16,3.2609110522713475e-14,0.999999999999968
EN1,0.0,6.819426578890366e-16,2.78637878108049e-15,0.9999999999999964
TCHH,0.0,3.159658860194436e-05,2.563070469006828e-63,0.9999684034113991
HOXC4,1.0,0.0,0.0,6.434420962064468e-226
SHH,0.0,1.910800951646742e-07,6.7081811281035534e-49,0.9999998089199065
IHH,0.0,0.9395952780010847,3.658573386776458e-54,0.060404721998915445
LHX3,0.0,0.025023394546101606,5.420856917461536e-82,0.9749766054538979
BARX1,0.0,7.584380189843474e-06,7.195247094184684e-50,0.99999241561981
BMP4,0.0,0.4594341417492906,1.875538371864549e-137,0.5405658582507096
SALL1,0.0,1.7915183085927314e-08,4.7410788903408133e-51,0.9999999820848161
ROBO3,0.0,2.901565603125284e-06,1.488876765334293e-45,0.9999970984343984
KCNA1,0.0,0.0038239030511001237,1.732205421869748e-88,0.9961760969489003
C1QA,0.0,0.9961034634012287,6.685265429008426e-36,0.0038965365987714993
PLXNA4,0.0,0.7516089788299363,2.493967133771579e-129,0.24839102117006534
NR5A1,0.0,0.7708154136093187,2.8597690372038015e-62,0.22918458639068218
HOXB6,1.0,4.356468067743846e-309,1.0964305417680436e-250,2.187950072361832e-221
WNT10B,0.0,0.5903766766012839,1.954007946825265e-107,0.409623323398715
PPIE,0.0,0.9998608990377461,2.5722727437968086e-296,0.00013910096225624703
LMX1A,0.0,0.004211088190720783,1.0883825958370204e-56,0.9957889118092775
NEUROG3,0.0,4.522366797349194e-07,8.869256335389231e-16,0.9999995477633191
NTRK1,0.0,0.9918070234879213,1.3874667838996632e-140,0.008192976512079491
TBX15,0.0,1.4020659378982573e-15,7.327224036696917e-66,1.0
ZIC5,0.0,1.7833610469717307e-15,0.9797204638774193,0.02027953612257888
GRIK3,0.0,8.941344883185384e-05,1.7318101442785577e-47,0.9999105865511673
ECEL1,0.0,0.9369477646454036,7.323034878296379e-64,0.06305223535459668
PAX5,0.0,7.818152580437728e-11,0.9999801586806746,1.984124114518412e-05
