Genes,GSM844492,GSM844495,GSM844497,GSM844499,GSM844501,GSM844503,GSM844505,GSM844507,GSM844521,GSM844522,GSM844523,GSM844524,med_value
CBX8,0.019460386,0.273011238,0.252576648,-0.17564578,0.151856233,-0.126745201,0.084830218,-0.154193755,-0.027947383,0.040104057,0.192272532,-0.487925033,0.029782222
EPS8L1,0.041878194,0.017574139,0.039610422,0.044022837,0.125879615,0.019849438,-0.035530979,0.060343243,-0.031323842,-0.014505326,-0.062969335,0.0978509,0.02972993
VSX1,0.060531226,-0.199033621,-0.001557784,0.082371724,0.129802707,-0.274354205,-0.18202868,0.346045771,-0.138495941,0.172686353,-0.048283286,0.164285211,0.029486721
DNAJC22,0.116446561,-0.133544611,0.241081767,-0.046904514,-0.213571817,0.17922192,0.024803638,0.021049584,0.033284318,0.151744732,-0.054568968,0.042662582,0.029043978
FOXD1,0.423992212,0.000522615,0.108703215,0.130015944,0.425491238,-0.194073611,-0.524758883,-0.021772532,0.057248435,0.450006685,-0.112816965,-0.137706061,0.028885525
MT2,0.028207306,0.028300908,-0.007608961,-0.002922214,0.028842079,0.037693122,0.03981988,0.005279157,0.028088421,-0.007013323,0.0632169,0.024831364,0.028147864
RIPK3,0.006153611,0.021545223,-0.016974805,-0.039919151,0.067171269,0.053458566,0.034437751,0.042176712,0.074418816,0.013972372,0.068211361,-0.040505202,0.027991487
GABRD,0.023490413,-0.077256134,0.018844943,0.05390173,0.073808999,0.052702872,-0.023961406,0.067973923,0.03086142,0.141732116,-0.052135039,0.005731835,0.027175917
POU2F3,0.111030679,0.047059043,-0.130653826,-0.112566968,0.098237914,0.114252817,0.023287806,0.023762989,0.03011225,0.097629117,-0.014872529,-0.19082312,0.02693762
SLFN3,0.02404369,0.046961979,0.071995666,0.04005793,0.030741133,-0.110480095,0.028485895,-0.015255397,-0.042697556,-0.028775631,0.014573048,0.080205341,0.026264793
COL2A1,-0.096333465,0.360365441,-0.018456011,0.070462449,0.096846668,0.145143386,-0.351651088,0.09958366,-0.444462876,0.307220242,-0.194237141,-0.331973608,0.026003219
ZFP503,-0.040293324,0.088860809,0.046138768,0.055003452,0.012303875,0.008565387,0.020237277,-0.006266196,0.072562249,0.047698645,0.029035027,0.007173186,0.024636152
NKD2,0.046041467,0.000324065,-0.03484271,-0.012986786,0.029861809,0.018978283,0.03546674,0.033713811,0.002827061,-0.018664996,0.048107221,0.028023269,0.023500776
PRRX1,-0.036602793,0.011179668,-0.033932338,-0.014885597,0.033448435,0.039727306,0.035796692,0.022372613,0.024146764,-0.002765962,0.043482204,0.025844021,0.023259689
KCNK13,0.043724132,-0.016618244,-0.005894353,-0.021654767,0.015961914,0.032447961,0.108472569,0.030392343,-0.007539206,-0.006478954,0.049863905,0.079433215,0.023177129
NR2E1,0.04320152,-0.150554825,-0.207824928,-0.11714961,0.526933875,-0.424429676,0.25885505,0.433074279,-0.903087431,0.211486769,0.00304079,0.277630877,0.023121155
ADGRA1,-0.091157981,0.187017319,0.02169771,0.089952971,0.029996163,-0.010997034,-0.005313798,0.023950844,0.075616129,0.102301071,0.021638109,-0.011404883,0.022824277
IRF8,0.03475558,0.017523708,0.045897559,0.066911594,0.00360346,0.039130558,0.003823736,0.026190749,-0.007012212,0.092045474,-0.009529413,0.000520827,0.021857229
PCDH1,0.046846931,0.020448219,0.022386213,0.02977022,0.030677403,0.014239112,0.023373736,0.021460868,0.013835204,0.013328879,0.006574097,0.034931332,0.021923541
ZFHX3,0.017506943,0.025626907,0.023016077,0.032303628,0.012822451,0.023160973,0.012577521,0.029172316,0.019344296,-0.03960011,0.020747312,0.022806457,0.021776885
DNAJB8,0.016974936,-0.118746088,0.017096895,0.063772247,0.040340295,0.034459741,0.020335922,0.13201875,-0.0492672,0.022418895,-0.021966807,0.04768706,0.021377409
SMUG1,0.126890025,-0.04363312,0.067431381,0.020792395,0.008722848,-0.112497239,0.091271485,-0.031292529,0.039941652,-0.139324482,0.020337483,0.030230498,0.020564939
COL27A1,0.026102689,-0.022506448,-0.045198445,-0.037175636,0.026299788,0.016466003,0.024644633,0.036392011,-0.022707363,-0.014326839,0.035958644,0.038650238,0.020555318
