	cluster1	cluster2	cluster3	cluster4	cluster5
Nervous_system_development	0.002	1	1	4.1e-30	1
Neural_precursor_cell_proliferation	1	1	1	0.00096	1
Neural_tube_patterning	1	1	1	0.0018	1
Neuroendocrine_cell_differentiation	1	1	1	0.00021	1
Neuroepithelial_cell_differentiation	1	1	1	3.39e-06	1
Neurogenesis	1	1	1	6.58e-27	1
Neuron_development	1	1	1	4.37e-07	1
Neuron_differentiation	1	1	1	3.91e-26	1
Neuron_fate_commitment	1	1	1	1.03e-21	1
Neuron_fate_determination	1	1	1	5.04e-05	1
Neuron_fate_specification	1	1	1	7.97e-16	1
Neuron_migration	1	1	1	1.22e-11	1
Neuron_projection_development	1	1	1	4.13e-07	1
Neuron_projection_morphogenesis	1	1	1	7.16e-07	1
Odontogenesis	1	1	1	3.62e-06	1
Odontogenesis_of_dentin-containing_tooth	1	1	1	0.0045	1
Osteoblast_differentiation	1	1	1	0.0056	1
Outflow_tract_morphogenesis	1	1	1	1.83e-05	1
Pallium_development	1	1	1	5.01e-05	1
Pancreas_development	1	1	1	6.74e-08	1
Parasympathetic_nervous_system_development	1	1	1	0.0072	1
Pattern_specification_involved_in_kidney_development	1	1	1	3.7e-05	1
Pattern_specification_involved_in_mesonephros_development	1	1	1	0.0068	1
Pattern_specification_involved_in_metanephros_development	1	1	1	0.0003	1
Pattern_specification_process	1	1	1	1.01e-28	1
Pituitary_gland_development	1	1	1	0.00032	1
Positive_regulation_of_DNA_binding	1	1	1	0.001	1
Positive_regulation_of_binding	1	1	1	5.31e-05	1
Positive_regulation_of_bone_mineralization	1	1	1	0.00035	1
Positive_regulation_of_cell_development	1	1	1	0.00038	1
Positive_regulation_of_cell_differentiation	1	1	1	8.83e-10	1
Positive_regulation_of_cell_population_proliferation	1	1	1	2.61e-06	1
Positive_regulation_of_cellular_metabolic_process	1	1	1	1.45e-18	1
Positive_regulation_of_cellular_process	1	1	1	1.05e-11	1
Positive_regulation_of_developmental_process	1	1	1	2.79e-10	1
Positive_regulation_of_epithelial_cell_differentiation	1	1	1	8.68e-05	1
Positive_regulation_of_epithelial_to_mesenchymal_transition	1	1	1	0.0082	1
Positive_regulation_of_macromolecule_metabolic_process	1	1	1	5.61e-16	1
Positive_regulation_of_metabolic_process	1	1	1	5.9e-15	1
Positive_regulation_of_multicellular_organismal_process	1	1	1	0.00024	1
Positive_regulation_of_nervous_system_development	1	1	1	0.001	1
Positive_regulation_of_neurogenesis	1	1	1	0.0017	1
Positive_regulation_of_neuron_differentiation	1	1	1	9.26e-10	1
Positive_regulation_of_nitrogen_compound_metabolic_process	1	1	1	1.89e-17	1
Positive_regulation_of_stem_cell_proliferation	1	1	1	0.00048	1
Positive_regulation_of_transcription,_DNA-templated	1	1	1	1.54e-29	1
Positive_regulation_of_transcription_by_RNA_polymerase_II	1	1	1	1.26e-32	1
Proximal/distal_pattern_formation	1	1	1	0.0024	1
Proximal/distal_pattern_formation_involved_in_metanephric_nephron_development	1	1	1	0.0068	1
Regionalization	1	1	1	4.86e-26	1
Regulation_of_DNA_binding	1	1	1	0.003	1
Regulation_of_anatomical_structure_morphogenesis	1	1	1	0.00045	1
Regulation_of_animal_organ_morphogenesis	1	1	1	0.0034	1
Regulation_of_apoptotic_process	1	1	1	4.8e-05	1
Regulation_of_binding	1	1	1	0.0018	1
Regulation_of_bone_mineralization	1	1	1	0.00037	1
Regulation_of_cell_development	1	1	1	4.56e-05	1
Regulation_of_cell_differentiation	1	1	1	5.85e-16	1
Regulation_of_cell_population_proliferation	1	1	1	5.03e-12	1
Regulation_of_cell_proliferation_involved_in_heart_morphogenesis	1	1	1	0.0082	1
Regulation_of_cellular_metabolic_process	1	1	1	1.16e-22	1
Regulation_of_cellular_process	1	1	1	4.28e-10	1
Regulation_of_chondrocyte_differentiation	1	1	1	0.0093	1
Regulation_of_developmental_growth	1	1	1	0.0029	1
Regulation_of_developmental_process	1	1	1	1.49e-13	1
Regulation_of_epithelial_cell_differentiation	1	1	1	1.22e-06	1
Regulation_of_epithelial_cell_proliferation	1	1	1	5.31e-05	1
Regulation_of_epithelial_to_mesenchymal_transition	1	1	1	0.0077	1
Regulation_of_kidney_development	1	1	1	0.002	1
Regulation_of_macromolecule_metabolic_process	1	1	1	6.26e-19	1
Regulation_of_morphogenesis_of_a_branching_structure	1	1	1	0.0082	1
Regulation_of_multicellular_organismal_development	1	1	1	7.72e-10	1
Regulation_of_multicellular_organismal_process	1	1	1	1.03e-07	1
Regulation_of_muscle_tissue_development	1	1	1	0.00045	1
Regulation_of_myoblast_proliferation	1	1	1	0.0056	1
Regulation_of_nervous_system_development	1	1	1	6.46e-05	1
Regulation_of_neurogenesis	1	1	1	5.56e-05	1
Regulation_of_neuron_differentiation	1	1	1	2.27e-13	1
Regulation_of_nitrogen_compound_metabolic_process	1	1	1	1.71e-21	1
Regulation_of_odontogenesis	1	1	1	0.0003	1
Regulation_of_ossification	1	1	1	0.0003	1
Regulation_of_primary_metabolic_process	1	1	1	1.63e-21	1
Regulation_of_skeletal_muscle_tissue_development	1	1	1	0.0012	1
Regulation_of_stem_cell_proliferation	1	1	1	0.00039	1
Regulation_of_transcription,_DNA-templated	1	1	1	4.74e-35	1
Regulation_of_transcription_by_RNA_polymerase_II	1	1	1	7.13e-43	1
Regulation_of_transcription_regulatory_region_DNA_binding	1	1	1	0.0099	1
Renal_system_development	1	1	1	1.68e-07	1
Renal_vesicle_development	1	1	1	0.0041	1
Reproductive_structure_development	1	1	1	5.17e-05	1
Respiratory_system_development	1	1	1	0.0056	1
Response_to_chemical	1	1	1	3.41e-05	1
Response_to_organic_substance	1	1	1	0.0057	1
Roof_of_mouth_development	1	1	1	3.65e-07	1
Segmentation	1	1	1	8.88e-07	1
Sensory_organ_development	1	1	1	1.32e-17	1
Sensory_organ_morphogenesis	1	1	1	3.68e-12	1
Sensory_system_development	1	1	1	4.35e-07	1
Sex_differentiation	1	1	1	0.00021	1
Sinoatrial_node_cell_development	1	1	1	0.00044	1
Sinoatrial_node_development	1	1	1	8.34e-05	1
Skeletal_muscle_cell_differentiation	1	1	1	5.27e-05	1
Skeletal_muscle_organ_development	1	1	1	8.02e-08	1
Skeletal_muscle_tissue_development	1	1	1	4.85e-07	1
Skeletal_system_development	1	0.0018	1	1.13e-11	1
Skeletal_system_morphogenesis	1	1	1	1.85e-13	1
Smooth_muscle_cell_differentiation	1	1	1	0.0029	1
Smoothened_signaling_pathway	1	1	1	0.0006	1
Specification_of_nephron_tubule_identity	1	1	1	0.00044	1
Spinal_cord_association_neuron_differentiation	1	1	1	6.46e-05	1
Spinal_cord_development	1	1	1	1.05e-10	1
Spinal_cord_motor_neuron_differentiation	1	1	1	7.09e-05	1
Spleen_development	1	1	1	0.0027	1
Stem_cell_differentiation	1	1	1	4.9e-09	1
Stem_cell_proliferation	1	1	1	0.00032	1
Striated_muscle_cell_differentiation	1	1	1	0.00013	1
System_development	0.00064	1	1	3.8e-31	1
System_process	1	1	1	0.0063	1
T_cell_differentiation	1	1	1	0.0021	1
Telencephalon_development	1	1	1	2.84e-07	1
Telencephalon_regionalization	1	1	1	0.00011	1
Tissue_development	1	1	1	2.15e-28	1
Tissue_morphogenesis	1	1	1	8.3e-12	1
Transcription,_DNA-templated	1	1	1	1.09e-05	1
Transcription_by_RNA_polymerase_II	1	1	1	9.94e-07	1
Tube_development	1	1	1	2.4e-11	1
Tube_morphogenesis	1	1	1	1.88e-06	1
Type_B_pancreatic_cell_development	1	1	1	0.0064	1
Type_B_pancreatic_cell_differentiation	1	1	1	0.00071	1
Type_B_pancreatic_cell_proliferation	1	1	1	0.0041	1
Ureter_development	1	1	1	7.62e-06	1
Ureteric_bud_development	1	1	1	0.00054	1
Urogenital_system_development	1	1	1	9.49e-08	1
Ventral_spinal_cord_development	1	1	1	5e-08	1
Ventral_spinal_cord_interneuron_fate_commitment	1	1	1	1.52e-06	1
Ventral_spinal_cord_interneuron_specification	1	1	1	0.00086	1
