GENE,cluster1,cluster2,cluster3,cluster4,cluster5
NAT8L,0.1600222435785017,0.8399777564214993,0.0,0.0,1.5134532421860394e-23
TBX5,1.036559960664101e-05,7.492340141965364e-10,0.0,0.0,0.9999896336511609
OLFM1,8.234121217264267e-06,0.9999917658787828,0.0,0.0,8.724480783762726e-18
MECOM,0.001923235163654557,0.9980767647482064,0.0,0.0,8.813760663134702e-11
SLC6A17,0.00029256458729812955,0.999707435412702,0.0,0.0,7.97997154565992e-18
WNT3,0.0008751790453075167,0.9991248202167159,0.0,0.0,7.37976565148422e-10
KCNJ4,0.006708636096524939,0.9932913639034735,0.0,0.0,1.4506079907149333e-15
GSC,0.9998115175821067,0.00013924946092118274,0.0,0.0,4.923295697357729e-05
BLK,0.0029391506643144895,0.9970608493356838,0.0,0.0,2.745034936998147e-20
FBXL16,0.9562680052162873,0.04373199478371099,0.0,0.0,3.886756609900991e-22
ADGRB1,9.363841381390819e-05,0.9999063615861872,0.0,0.0,5.433672426456214e-25
PHF24,0.0007041446797135488,0.9992958551472069,0.0,0.0,1.7307849113084289e-10
CRLF1,0.9946718867684996,0.005328113231492958,0.0,0.0,8.566848483842932e-15
WNT3A,0.995362471265588,0.004637528632542362,0.0,0.0,1.0187084439008729e-10
NTSR1,3.4118638750525555e-07,0.9999996588135871,0.0,0.0,2.578470883384833e-14
NRXN2,0.7012721692206315,0.29872783077937,0.0,0.0,4.9723867409808815e-17
WT1,0.9388563760353386,4.7088446990975857e-05,0.0,0.0,0.061096535517670705
BCL11A,1.771896403292247e-08,0.999999982281036,0.0,0.0,1.4442559378996377e-17
LINGO1,1.1429346923587695e-33,0.9999835288859776,0.0,0.0,1.6471114021632494e-05
FIBCD1,0.017060080033244066,0.9829399184835965,0.0,0.0,1.4831586163389341e-09
KCNB1,2.093368080268078e-09,0.9999999969964826,0.0,0.0,9.101510423690369e-10
PDYN,1.4198349747251051e-05,0.9999849257812429,0.0,0.0,8.758690115474957e-07
GABRD,2.090193264989136e-05,0.9999790980673487,0.0,0.0,1.6781734415298606e-16
ADAMTSL2,1.8491464189487367e-06,0.9999981508535826,0.0,0.0,9.111812729903065e-35
NTRK1,0.00030958921245851316,0.9996904107875397,0.0,0.0,1.3096020604633386e-20
HOXC4,0.0,0.0,1.0,0.0,0.0
CBX4,0.13126214000099642,0.8687378599990043,0.0,0.0,5.291584471338658e-26
BHLHE23,4.916289957023721e-35,0.002492237855386434,0.0,0.0,0.9975077621446142
LRFN2,0.03540297054863974,0.9645970274294845,0.0,0.0,2.021874842632684e-09
EPHA10,0.9762843656588778,0.023715634300511775,0.0,0.0,4.06108388077548e-11
NPTX1,0.9999477661769185,5.2233821915530305e-05,0.0,0.0,1.1668228681066951e-12
WNT10A,0.9993264523883731,0.0006735476058241329,0.0,0.0,5.801310542800813e-12
SEMA5B,1.5493896782706048e-06,0.9999984240591698,0.0,0.0,2.655115341520166e-08
SYN2,0.018946654590944717,0.9810533016002915,0.0,0.0,4.380876503945791e-08
FADS6,0.003579948440278162,0.996420030441249,0.0,0.0,2.1118472792266383e-08
NR5A1,0.00011616934240535622,0.9998838222755535,0.0,0.0,8.382039567037039e-09
SKAP1,3.131972738080139e-06,0.9999968458931936,0.0,0.0,2.2134069151560277e-08
CBLN1,0.991161682864552,0.008838317134864224,0.0,0.0,5.84743644795841e-13
KCNH2,0.012897487642664712,0.9871025123573351,0.0,0.0,2.006909795514898e-31
CDH4,0.8505976779281311,0.14940232207186857,0.0,0.0,1.0473871234329377e-18
NSG1,0.0010206694768513953,0.9989793277370838,0.0,0.0,2.786064464491988e-09
