GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7
HOXC8,4.3065425975148864e-215,0.0,1.0,0.0,0.0,0.0,0.0
SIM1,0.9999999999991616,8.374593307244862e-13,0.0,0.0,0.0,4.6287297918114044e-17,7.81241603215869e-31
FAM172A,1.464835939739587e-05,0.9988434172681049,0.0,0.0,0.0,0.0011406700686544906,1.2643038438863367e-06
BUB3,0.9973733144449318,7.821748027211583e-08,0.0,0.0,0.0,0.0026266072383137676,9.927505083210234e-11
ISL1,0.9999953319804353,4.131077407806834e-06,0.0,0.0,0.0,5.368394280150623e-07,1.02729988242141e-10
IGSF21,0.004669570184365524,2.4389085913002977e-12,0.0,0.0,0.0,0.9952789508655406,5.147894765341532e-05
PAX1,0.9998784090391966,6.959712779859455e-07,0.0,0.0,0.0,0.00012089484925075182,1.4027424521364603e-10
EXOC6,1.7175426668745498e-05,0.9982526790241713,0.0,0.0,0.0,0.0017280585964142526,2.086952746198569e-06
BCL11A,1.6499765696003286e-07,2.214014747375859e-12,0.0,0.0,0.0,5.51979578864247e-05,0.9999446370422417
SLC17A7,0.5909488541059928,0.0009037922558426443,0.0,0.0,0.0,0.40814735363726146,9.021043253250597e-13
TBX20,0.9990669895810105,0.0009229997950507825,0.0,0.0,0.0,1.0010622215802867e-05,1.7215682515956652e-12
FOXA1,0.935844774773757,0.06409012425730183,0.0,0.0,0.0,6.51003710105556e-05,5.979318975948222e-10
GSC,0.6685355611174834,0.3194606240409985,0.0,0.0,0.0,0.01200380521988315,9.621635138324076e-09
ALX4,0.9999999853161975,1.035629755592893e-16,0.0,0.0,0.0,1.4683803334221737e-08,2.4367171946322488e-39
IGF2BP3,3.964716055170523e-09,2.0173018125477347e-12,0.0,0.0,0.0,0.0003589442355444158,0.9996410517977234
THBD,0.018092748818502726,0.006749035413746859,0.0,0.0,0.0,0.8053277682870592,0.16983044748068996
CDC20B,0.6885074310251561,0.0006714084483647609,0.0,0.0,0.0,3.4343960780648802e-06,0.31081772613039954
FOXG1,0.9999087105560107,2.4477933783013315e-06,0.0,0.0,0.0,8.840354574073842e-05,4.381048717784509e-07
PDX1,0.9991248115709835,0.0008750847683815514,0.0,0.0,0.0,1.0365758107161394e-07,3.054667050476036e-12
ATOH1,0.030986297522930105,0.9680222401220173,0.0,0.0,0.0,0.0009884617604748235,3.0005945761955853e-06
BMI1,0.003003756148059595,0.9755357557178813,0.0,0.0,0.0,0.0177258183633725,0.003734669770685655
DOK7,0.00593441513245184,0.00018472815946711947,0.0,0.0,0.0,0.9228614396698295,0.07101941703824986
SIX6,0.9991248135929447,0.0008751737907154885,0.0,0.0,0.0,1.2615789407320548e-08,5.505994557176682e-13
HAPLN2,0.2314294278645404,9.020585384388139e-15,0.0,0.0,0.0,0.01656253329692955,0.7520080388385201
RGMA,0.0015177802734259542,0.9813933183209265,0.0,0.0,0.0,0.016978765116981303,0.00011013628866534233
CBX8,0.9984513919039283,1.1200192165370968e-12,0.0,0.0,0.0,0.0015486037158177137,4.379133820892699e-09
EPS8L1,0.0011907040678215716,0.7352121131404676,0.0,0.0,0.0,0.2635706378189419,2.6544972769080357e-05
VSX1,0.9589963427520581,0.027748912590055273,0.0,0.0,0.0,0.01325424549204074,4.991658448987927e-07
DNAJC22,0.06591841122733526,0.8226986328886096,0.0,0.0,0.0,0.11120643571104137,0.00017652017301279707
FOXD1,0.9999999688220957,4.743028622276894e-13,0.0,0.0,0.0,6.339525895699953e-11,3.1114032882956144e-08
RIPK3,0.05979420540799444,0.04168307074740161,0.0,0.0,0.0,0.6424551158596904,0.2560676079849134
GABRD,8.63913298675393e-08,1.233567454531617e-08,0.0,0.0,0.0,0.999999493150377,4.0812261921640474e-07
POU2F3,0.0007475381150257304,3.689105430863708e-05,0.0,0.0,0.0,0.9989132966330633,0.0003022741976017001
COL2A1,0.9999956333863675,1.1862808627541937e-21,0.0,0.0,0.0,4.363969923113017e-06,2.643708590669384e-09
NKD2,0.0005562269725010173,5.574693628822428e-07,0.0,0.0,0.0,0.9994317454825079,1.1470075628898797e-05
PRRX1,0.9190800139331099,0.07877528357390023,0.0,0.0,0.0,0.0021439962923951164,7.06200596320851e-07
KCNK13,0.0009289598682813285,0.986877879804573,0.0,0.0,0.0,0.0076226944218401324,0.004570465905306381
