GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8
OXGR1,0.0,0.0007538419045382685,1.4394425088710457e-82,1.813632755182112e-53,0.008955430056139975,0.9902907280393204,0.0,0.0
PALD1,0.0,0.003478546870258628,1.8516058570549356e-90,9.810586032042662e-44,0.0037334452782969525,0.9927880078514442,0.0,0.0
CCDC3,0.0,0.9550263324147322,1.2468481814033716e-83,1.26008759477083e-26,0.00012560751549557517,0.044848060069773744,0.0,0.0
PRKCQ,0.0,0.01977195253641383,1.05095157924779e-85,4.178775645975534e-26,0.0049341361668124905,0.975293911296775,0.0,0.0
SLC36A2,0.0,0.6347018354159868,5.351141557134139e-82,9.732670492645647e-43,0.0006127373618452783,0.36468542722216624,0.0,0.0
MBNL1,1.0625122580148773e-31,0.0003028104263544822,1.8772529170805423e-109,0.1519219206115407,1.1134710762237916e-09,9.102469835018302e-07,0.0,0.8477743576016504
TLE2,0.0,0.8558716186083472,4.347943111191156e-92,3.261342602358631e-20,0.00747071466278289,0.13665766672887056,0.0,1.5675336318020686e-181
GHSR,0.0,0.031774396603785206,1.413978073148649e-76,5.675170002711949e-76,0.01607663984788867,0.9521489635483248,0.0,0.0
HS3ST3A1,0.0,0.9063517121541138,1.2213597868981942e-95,1.1944242464824114e-39,0.0008522095845248452,0.09279607826135983,0.0,0.0
GPRC5C,0.0,0.9624361104548306,2.9119364233294585e-90,5.440849210356356e-19,0.00014274193123063622,0.03742114761394047,0.0,4.81243025021472e-295
SRPX,0.0,3.848932003650668e-108,1.6092194034899277e-111,9.068125225756022e-271,3.153058080868655e-08,0.9999999684694179,0.0,0.0
PRTG,0.0,0.9844130234126816,8.953609694535622e-87,2.860528147808916e-32,0.005564184575022662,0.010022792012295353,0.0,0.0
NTSR2,0.0,0.0001966301295247708,1.0002376331141272e-73,4.665942131138491e-67,0.004861304849194544,0.99494206502128,0.0,0.0
SMO,0.0,0.7514829067140867,3.27190355928461e-88,1.2159220717978835e-20,0.0351575023468687,0.21335959093904563,0.0,3.9444877073e-314
IL2RA,0.0,0.0020435022922829916,7.536762779720906e-88,7.327556995548357e-32,0.0037353418556903897,0.9942211558520263,0.0,0.0
GADL1,0.0,0.9969476222046438,2.343168954492319e-96,7.261227607372355e-12,3.7712814322905706e-06,0.003048606506663181,0.0,2.777683928991888e-233
GRIK1,0.0,0.11889174119197415,9.245122985452058e-86,5.470800309858437e-45,0.001046953445575804,0.8800613053624494,0.0,0.0
ATP6V1C2,0.0,0.6030886725549216,9.594048260654541e-81,1.883806344989588e-49,0.0006744049332915294,0.3962369225117877,0.0,0.0
